 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
       1 0.366E+02 0.682E+02 0.582E+00
       2 0.297E+02 0.584E+02 0.141E+01
       3 0.674E+01 0.154E+02 0.401E+01
       4 0.664E+01 0.115E+02 0.560E+01
       5 0.379E+01 0.838E+01 0.656E+01
       6 0.391E+01 0.869E+01 0.431E+01
       7 0.333E+01 0.541E+01 0.577E+01
       8 0.296E+01 0.355E+01 0.347E+01
       9 0.216E+01 0.237E+01 0.183E+01
      10 0.164E+01 0.149E+01 0.161E+01
      11 0.929E+00 0.161E+01 0.127E+01
      12 0.101E+01 0.114E+01 0.938E+00
      13 0.102E+01 0.638E+00 0.646E+00
      14 0.945E+00 0.594E+00 0.418E+00
      15 0.129E+01 0.986E+00 0.537E+00
      16 0.118E+01 0.732E+00 0.358E+00
      17 0.133E+01 0.997E+00 0.532E+00
      18 0.119E+01 0.749E+00 0.715E+00
      19 0.112E+01 0.186E+01 0.551E+00
      20 0.109E+01 0.138E+01 0.494E+00
      21 0.136E+01 0.133E+01 0.103E+01
      22 0.137E+01 0.102E+01 0.523E+00
      23 0.106E+01 0.138E+01 0.411E+00
      24 0.852E+00 0.104E+01 0.436E+00
      25 0.520E+00 0.794E+00 0.338E+00
      26 0.439E+00 0.598E+00 0.295E+00
      27 0.524E+00 0.699E+00 0.228E+00
      28 0.514E+00 0.523E+00 0.145E+00
      29 0.687E+00 0.621E+00 0.260E+00
      30 0.671E+00 0.465E+00 0.262E+00
      31 0.618E+00 0.565E+00 0.259E+00
      32 0.518E+00 0.425E+00 0.462E+00
      33 0.528E+00 0.463E+00 0.271E+00
      34 0.496E+00 0.355E+00 0.282E+00
      35 0.549E+00 0.652E+00 0.257E+00
      36 0.465E+00 0.490E+00 0.180E+00
      37 0.441E+00 0.327E+00 0.292E+00
      38 0.437E+00 0.264E+00 0.189E+00
      39 0.342E+00 0.392E+00 0.197E+00
      40 0.302E+00 0.296E+00 0.169E+00
      41 0.193E+00 0.319E+00 0.132E+00
      42 0.144E+00 0.239E+00 0.151E+00
      43 0.236E+00 0.214E+00 0.165E+00
      44 0.221E+00 0.160E+00 0.955E-01
      45 0.199E+00 0.228E+00 0.182E+00
      46 0.161E+00 0.175E+00 0.114E+00
      47 0.257E+00 0.214E+00 0.203E+00
      48 0.261E+00 0.166E+00 0.114E+00
      49 0.300E+00 0.191E+00 0.210E+00
      50 0.253E+00 0.142E+00 0.154E+00
      51 0.238E+00 0.152E+00 0.137E+00
      52 0.203E+00 0.119E+00 0.888E-01
      53 0.239E+00 0.123E+00 0.526E-01
      54 0.216E+00 0.934E-01 0.650E-01
      55 0.181E+00 0.706E-01 0.449E-01
      56 0.149E+00 0.541E-01 0.665E-01
      57 0.832E-01 0.110E+00 0.499E-01
      58 0.686E-01 0.853E-01 0.466E-01
      59 0.631E-01 0.670E-01 0.459E-01
      60 0.671E-01 0.495E-01 0.354E-01
      61 0.872E-01 0.639E-01 0.489E-01
      62 0.791E-01 0.477E-01 0.285E-01
      63 0.877E-01 0.887E-01 0.236E-01
      64 0.737E-01 0.663E-01 0.582E-01
      65 0.671E-01 0.149E+00 0.421E-01
      66 0.513E-01 0.111E+00 0.551E-01
      67 0.797E-01 0.116E+00 0.437E-01
      68 0.789E-01 0.871E-01 0.350E-01
      69 0.783E-01 0.874E-01 0.210E-01
      70 0.610E-01 0.671E-01 0.389E-01
      71 0.411E-01 0.503E-01 0.328E-01
      72 0.365E-01 0.393E-01 0.369E-01
      73 0.303E-01 0.556E-01 0.247E-01
      74 0.295E-01 0.417E-01 0.151E-01
      75 0.255E-01 0.397E-01 0.118E-01
      76 0.220E-01 0.297E-01 0.172E-01
      77 0.283E-01 0.512E-01 0.891E-02
      78 0.252E-01 0.382E-01 0.164E-01
      79 0.384E-01 0.414E-01 0.107E-01
      80 0.314E-01 0.308E-01 0.196E-01
      81 0.302E-01 0.347E-01 0.142E-01
      82 0.273E-01 0.258E-01 0.228E-01
      83 0.262E-01 0.159E-01 0.144E-01
      84 0.230E-01 0.135E-01 0.174E-01
      85 0.198E-01 0.141E-01 0.126E-01
      86 0.197E-01 0.104E-01 0.132E-01
      87 0.137E-01 0.164E-01 0.913E-02
      88 0.139E-01 0.129E-01 0.630E-02
      89 0.147E-01 0.200E-01 0.600E-02
      90 0.143E-01 0.149E-01 0.583E-02
      91 0.221E-01 0.205E-01 0.765E-02
      92 0.210E-01 0.153E-01 0.946E-02
      93 0.245E-01 0.223E-01 0.633E-02
      94 0.205E-01 0.167E-01 0.149E-01
      95 0.175E-01 0.202E-01 0.105E-01
      96 0.149E-01 0.155E-01 0.152E-01
      97 0.178E-01 0.162E-01 0.106E-01
      98 0.155E-01 0.113E-01 0.114E-01
      99 0.149E-01 0.132E-01 0.820E-02
     100 0.140E-01 0.984E-02 0.621E-02
     101 0.724E-02 0.114E-01 0.614E-02
     102 0.630E-02 0.863E-02 0.473E-02
     103 0.511E-02 0.728E-02 0.332E-02
     104 0.463E-02 0.540E-02 0.272E-02
     105 0.594E-02 0.721E-02 0.236E-02
     106 0.553E-02 0.540E-02 0.169E-02
     107 0.637E-02 0.691E-02 0.210E-02
     108 0.603E-02 0.513E-02 0.155E-02
     109 0.809E-02 0.661E-02 0.336E-02
     110 0.743E-02 0.490E-02 0.254E-02
     111 0.787E-02 0.791E-02 0.229E-02
     112 0.701E-02 0.588E-02 0.305E-02
     113 0.974E-02 0.680E-02 0.209E-02
     114 0.853E-02 0.575E-02 0.252E-02
     115 0.640E-02 0.562E-02 0.165E-02
     116 0.569E-02 0.440E-02 0.163E-02
     117 0.249E-02 0.333E-02 0.153E-02
     118 0.228E-02 0.253E-02 0.126E-02
     119 0.332E-02 0.407E-02 0.157E-02
     120 0.336E-02 0.304E-02 0.107E-02
     121 0.343E-02 0.398E-02 0.127E-02
     122 0.305E-02 0.298E-02 0.109E-02
     123 0.317E-02 0.430E-02 0.936E-03
     124 0.282E-02 0.321E-02 0.149E-02
     125 0.265E-02 0.420E-02 0.848E-03
     126 0.267E-02 0.313E-02 0.165E-02
     127 0.280E-02 0.311E-02 0.103E-02
     128 0.255E-02 0.234E-02 0.140E-02
     129 0.224E-02 0.218E-02 0.914E-03
     130 0.223E-02 0.164E-02 0.109E-02
     131 0.134E-02 0.165E-02 0.809E-03
     132 0.125E-02 0.124E-02 0.849E-03
     133 0.129E-02 0.116E-02 0.630E-03
     134 0.147E-02 0.849E-03 0.449E-03
     135 0.156E-02 0.157E-02 0.753E-03
     136 0.141E-02 0.118E-02 0.629E-03
     137 0.164E-02 0.169E-02 0.548E-03
     138 0.142E-02 0.127E-02 0.970E-03
     139 0.169E-02 0.177E-02 0.576E-03
     140 0.139E-02 0.131E-02 0.857E-03
     141 0.168E-02 0.146E-02 0.533E-03
     142 0.142E-02 0.111E-02 0.688E-03
     143 0.117E-02 0.103E-02 0.465E-03
     144 0.118E-02 0.792E-03 0.507E-03
     145 0.104E-02 0.788E-03 0.358E-03
     146 0.994E-03 0.589E-03 0.269E-03
     147 0.651E-03 0.856E-03 0.417E-03
     148 0.595E-03 0.656E-03 0.320E-03
     149 0.590E-03 0.649E-03 0.252E-03
     150 0.569E-03 0.485E-03 0.203E-03
     151 0.667E-03 0.825E-03 0.249E-03
     152 0.680E-03 0.617E-03 0.134E-03
     153 0.765E-03 0.792E-03 0.148E-03
     154 0.763E-03 0.589E-03 0.147E-03
     155 0.701E-03 0.734E-03 0.238E-03
     156 0.602E-03 0.546E-03 0.148E-03
     157 0.806E-03 0.617E-03 0.766E-03
     158 0.832E-03 0.459E-03 0.355E-03
     159 0.856E-03 0.537E-03 0.704E-03
     160 0.774E-03 0.426E-03 0.688E-03
     161 0.585E-03 0.631E-03 0.326E-03
     162 0.505E-03 0.472E-03 0.322E-03
     163 0.252E-03 0.371E-03 0.288E-03
     164 0.296E-03 0.284E-03 0.247E-03
     165 0.321E-03 0.333E-03 0.191E-03
